full_fips,state_fips,county_fips,county_name_state,year,labor_force,employed,unemployed,rate
01001,01,001,"Autauga County, AL",2020,25838,24576,1262,4.9
01003,01,003,"Baldwin County, AL",2020,96763,91338,5425,5.6
01005,01,005,"Barbour County, AL",2020,8587,7982,605,7
01007,01,007,"Bibb County, AL",2020,8640,8067,573,6.6
01009,01,009,"Blount County, AL",2020,24661,23653,1008,4.1
01011,01,011,"Bullock County, AL",2020,4818,4553,265,5.5
01013,01,013,"Butler County, AL",2020,9056,8255,801,8.8
01015,01,015,"Calhoun County, AL",2020,46240,42980,3260,7.1
01017,01,017,"Chambers County, AL",2020,15865,14787,1078,6.8
01019,01,019,"Cherokee County, AL",2020,11513,10983,530,4.6
01021,01,021,"Chilton County, AL",2020,19592,18618,974,5
01023,01,023,"Choctaw County, AL",2020,4621,4313,308,6.7
01025,01,025,"Clarke County, AL",2020,7769,7069,700,9
01027,01,027,"Clay County, AL",2020,6083,5838,245,4
01029,01,029,"Cleburne County, AL",2020,5737,5475,262,4.6
01031,01,031,"Coffee County, AL",2020,21502,20558,944,4.4
01033,01,033,"Colbert County, AL",2020,23558,22008,1550,6.6
01035,01,035,"Conecuh County, AL",2020,4529,4198,331,7.3
01037,01,037,"Coosa County, AL",2020,4392,4150,242,5.5
01039,01,039,"Covington County, AL",2020,15172,14434,738,4.9
01041,01,041,"Crenshaw County, AL",2020,6253,5896,357,5.7
01043,01,043,"Cullman County, AL",2020,38310,36660,1650,4.3
01045,01,045,"Dale County, AL",2020,20710,19701,1009,4.9
01047,01,047,"Dallas County, AL",2020,14619,13049,1570,10.7
01049,01,049,"DeKalb County, AL",2020,30736,29348,1388,4.5
01051,01,051,"Elmore County, AL",2020,36620,34843,1777,4.9
01053,01,053,"Escambia County, AL",2020,14453,13589,864,6
01055,01,055,"Etowah County, AL",2020,40724,37598,3126,7.7
01057,01,057,"Fayette County, AL",2020,6562,6236,326,5
01059,01,059,"Franklin County, AL",2020,14424,13786,638,4.4
01061,01,061,"Geneva County, AL",2020,10835,10391,444,4.1
01063,01,063,"Greene County, AL",2020,3015,2687,328,10.9
01065,01,065,"Hale County, AL",2020,6075,5503,572,9.4
01067,01,067,"Henry County, AL",2020,6814,6487,327,4.8
01069,01,069,"Houston County, AL",2020,46358,43861,2497,5.4
01071,01,071,"Jackson County, AL",2020,22840,21637,1203,5.3
01073,01,073,"Jefferson County, AL",2020,315957,296282,19675,6.2
01075,01,075,"Lamar County, AL",2020,5730,5452,278,4.9
01077,01,077,"Lauderdale County, AL",2020,41931,39610,2321,5.5
01079,01,079,"Lawrence County, AL",2020,14363,13660,703,4.9
01081,01,081,"Lee County, AL",2020,75564,71629,3935,5.2
01083,01,083,"Limestone County, AL",2020,44624,42724,1900,4.3
01085,01,085,"Lowndes County, AL",2020,3661,3173,488,13.3
01087,01,087,"Macon County, AL",2020,8063,7290,773,9.6
01089,01,089,"Madison County, AL",2020,187247,178579,8668,4.6
01091,01,091,"Marengo County, AL",2020,7766,7281,485,6.2
01093,01,093,"Marion County, AL",2020,13034,12373,661,5.1
01095,01,095,"Marshall County, AL",2020,44275,42430,1845,4.2
01097,01,097,"Mobile County, AL",2020,190882,175761,15121,7.9
01099,01,099,"Monroe County, AL",2020,7474,6864,610,8.2
01101,01,101,"Montgomery County, AL",2020,107103,98735,8368,7.8
01103,01,103,"Morgan County, AL",2020,58899,56265,2634,4.5
01105,01,105,"Perry County, AL",2020,3437,3064,373,10.9
01107,01,107,"Pickens County, AL",2020,7660,7161,499,6.5
01109,01,109,"Pike County, AL",2020,15636,14864,772,4.9
01111,01,111,"Randolph County, AL",2020,9414,8967,447,4.7
01113,01,113,"Russell County, AL",2020,23500,22290,1210,5.1
01115,01,115,"St. Clair County, AL",2020,40132,38146,1986,4.9
01117,01,117,"Shelby County, AL",2020,114048,109646,4402,3.9
01119,01,119,"Sumter County, AL",2020,4745,4414,331,7
01121,01,121,"Talladega County, AL",2020,36123,33591,2532,7
01123,01,123,"Tallapoosa County, AL",2020,17864,16625,1239,6.9
01125,01,125,"Tuscaloosa County, AL",2020,102222,95473,6749,6.6
01127,01,127,"Walker County, AL",2020,24877,23431,1446,5.8
01129,01,129,"Washington County, AL",2020,6729,6190,539,8
01131,01,131,"Wilcox County, AL",2020,2871,2448,423,14.7
01133,01,133,"Winston County, AL",2020,10017,9542,475,4.7
02013,02,013,"Aleutians East Borough, AK",2020,2523,2423,100,4
02016,02,016,"Aleutians West Census Area, AK",2020,3732,3563,169,4.5
02020,02,020,"Anchorage Borough/municipality, AK",2020,148392,137421,10971,7.4
02050,02,050,"Bethel Census Area, AK",2020,6963,6158,805,11.6
02060,02,060,"Bristol Bay Borough, AK",2020,417,386,31,7.4
02068,02,068,"Denali Borough, AK",2020,680,573,107,15.7
02070,02,070,"Dillingham Census Area, AK",2020,1742,1599,143,8.2
02090,02,090,"Fairbanks North Star Borough, AK",2020,44679,41838,2841,6.4
02100,02,100,"Haines Borough, AK",2020,1018,859,159,15.6
02105,02,105,"Hoonah-Angoon Census Area, AK",2020,1050,908,142,13.5
02110,02,110,"Juneau Borough/city, AK",2020,16374,15293,1081,6.6
02122,02,122,"Kenai Peninsula Borough, AK",2020,26341,23948,2393,9.1
02130,02,130,"Ketchikan Gateway Borough, AK",2020,6520,5893,627,9.6
02150,02,150,"Kodiak Island Borough, AK",2020,6090,5710,380,6.2
02158,02,158,"Kusilvak Census Area, AK",2020,2299,1854,445,19.4
02164,02,164,"Lake and Peninsula Borough, AK",2020,689,624,65,9.4
02170,02,170,"Matanuska-Susitna Borough, AK",2020,47848,43858,3990,8.3
02180,02,180,"Nome Census Area, AK",2020,3927,3516,411,10.5
02185,02,185,"North Slope Borough, AK",2020,3200,3011,189,5.9
