full_fips,state_fips,county_fips,county,state
01001,01,001,Autauga,AL
01003,01,003,Baldwin,AL
01005,01,005,Barbour,AL
01007,01,007,Bibb,AL
01009,01,009,Blount,AL
01011,01,011,Bullock,AL
01013,01,013,Butler,AL
01015,01,015,Calhoun,AL
01017,01,017,Chambers,AL
01019,01,019,Cherokee,AL
01021,01,021,Chilton,AL
01023,01,023,Choctaw,AL
01025,01,025,Clarke,AL
01027,01,027,Clay,AL
01029,01,029,Cleburne,AL
01031,01,031,Coffee,AL
01033,01,033,Colbert,AL
01035,01,035,Conecuh,AL
01037,01,037,Coosa,AL
01039,01,039,Covington,AL
01041,01,041,Crenshaw,AL
01043,01,043,Cullman,AL
01045,01,045,Dale,AL
01047,01,047,Dallas,AL
01049,01,049,De Kalb,AL
01051,01,051,Elmore,AL
01053,01,053,Escambia,AL
01055,01,055,Etowah,AL
01057,01,057,Fayette,AL
01059,01,059,Franklin,AL
01061,01,061,Geneva,AL
01063,01,063,Greene,AL
01065,01,065,Hale,AL
01067,01,067,Henry,AL
01069,01,069,Houston,AL
01071,01,071,Jackson,AL
01073,01,073,Jefferson,AL
01075,01,075,Lamar,AL
01077,01,077,Lauderdale,AL
01079,01,079,Lawrence,AL
01081,01,081,Lee,AL
01083,01,083,Limestone,AL
01085,01,085,Lowndes,AL
01087,01,087,Macon,AL
01089,01,089,Madison,AL
01091,01,091,Marengo,AL
01093,01,093,Marion,AL
01095,01,095,Marshall,AL
01097,01,097,Mobile,AL
01099,01,099,Monroe,AL
01101,01,101,Montgomery,AL
01103,01,103,Morgan,AL
01105,01,105,Perry,AL
01107,01,107,Pickens,AL
01109,01,109,Pike,AL
01111,01,111,Randolph,AL
01113,01,113,Russell,AL
01115,01,115,St Clair,AL
01117,01,117,Shelby,AL
01119,01,119,Sumter,AL
01121,01,121,Talladega,AL
01123,01,123,Tallapoosa,AL
01125,01,125,Tuscaloosa,AL
01127,01,127,Walker,AL
01129,01,129,Washington,AL
01131,01,131,Wilcox,AL
01133,01,133,Winston,AL
02013,02,013,Aleutians East,AK
02016,02,016,Aleutians West,AK
02020,02,020,Anchorage,AK
02050,02,050,Bethel,AK
02060,02,060,Bristol Bay,AK
02068,02,068,Denali,AK
02070,02,070,Dillingham,AK
