name,year,total_taxes,property_taxes,sales_and_gross_receipts_taxes,general_sales_and_gross_receipts_taxes,selective_sales_and_gross_receipts_taxes,alcoholic_beverages_sales_tax,amusements_sales_tax,insurance_premiums_sales_tax,motor_fuels_sales_tax,pari_mutuels_sales_tax,public_utilities_sales_tax,tobacco_products_sales_tax,other_selective_sales_and_gross_receipts_taxes,license_taxes,alcoholic_beverages_license,amusements_license,corporations_in_general_license,hunting_and_fishing_license,motor_vehicle_license,motor_vehicle_operators_license,public_utilities_license,occupation_and_business_license_nec,other_license_taxes,income_taxes,individual_income_taxes,corporations_net_income_taxes,other_taxes,death_and_gift_taxes,documentarty_and_stock_transfer_taxes,severance_taxes,taxes_nec
united-states,2020,1066132493,21855820,513307715,341813760,171493955,6820969,7024577,24689026,51133372,126750,12106473,18489166,51103622,59079235,745570,529891,6466508,1842978,27754672,2753212,1213651,16195455,1577298,440903521,388006995,52896526,30986202,5102727,11009137,11546995,3327343
united-states,2019,1093374302,21125645,507973822,337098320,170875502,6962674,8485936,23575076,50758023,130902,12547166,18682664,49733061,59015037,710385,792038,6641902,1709888,28094821,2893283,1328288,15219230,1625202,471613543,411234520,60379023,33646255,4947763,10601008,14911030,3186454
alabama,2020,12044879,445584,5903861,2980152,2923709,241721,0,427848,774990,2204,685575,173628,617743,573316,7411,0,172986,20402,240137,45048,19464,67867,1,5028324,4274052,754272,93794,0,60391,33403,0
alabama,2019,11583068,422322,5625900,2912839,2713061,218083,0,403868,605862,1298,699664,174293,609993,555966,3994,0,161298,23599,241157,41101,12078,72738,1,4879140,4194844,684296,99740,0,47988,51752,0
alaska,2020,1318156,125696,268355,0,268355,40692,15427,65597,48554,0,4413,58356,35316,152187,1429,0,0,36543,33600,0,8978,71637,0,162611,0,162611,609307,0,0,609307,0
alaska,2019,1780911,121501,278823,0,278823,40778,12621,79833,45703,0,4518,59677,35693,159757,1298,0,0,37478,37200,0,10719,68759,4303,332520,0,332520,888310,0,0,888310,0
arizona,2020,17787240,1096339,10892993,8861931,2031062,80587,4547,575949,879833,160,21937,307903,160146,584022,10326,0,25105,45080,255034,40734,0,205639,2104,5053472,4530410,523062,160414,0,18830,12704,128880
arizona,2019,18163903,1091363,10443788,8358260,2085528,78122,2920,590604,885012,184,22432,309128,197126,580141,8917,0,39710,38256,265264,36419,16,190015,1544,5871515,5357251,514264,177096,0,18946,17252,140898
arkansas,2020,10255155,1207396,5137583,3691920,1445663,60539,53279,285337,542943,1747,0,228521,273297,391409,4540,955,27257,27194,170569,24089,8628,127333,844,3383968,2914939,469029,134799,0,51505,28962,54332
arkansas,2019,10217866,1208746,4920468,3573456,1347012,60210,71900,241403,496131,2155,0,218651,256562,403627,4870,933,30138,26156,168295,22696,9236,139083,2220,3546406,3012491,533915,138619,0,46610,56035,35974
california,2020,171964222,3063367,62553028,43650233,18902795,407884,0,2829718,8449593,15280,702579,2122673,4375068,12007345,66660,25102,84567,115291,4920460,285557,628587,5854119,27002,94230200,84412243,9817957,110282,282,0,110000,0
california,2019,188235271,2977083,60233962,41539499,18694463,353296,0,2722787,7557711,13435,712691,1979149,5355394,11041442,66748,22212,80949,116030,4868905,338008,726445,4817776,4369,113872440,100079921,13792519,110344,344,0,110000,0
colorado,2020,15074484,0,6011981,3400110,2611871,49778,88685,337655,663889,387,0,187129,1284348,678829,7639,756,23474,112800,428841,39744,13309,52221,45,8235796,7539184,696612,147878,0,0,147878,0
colorado,2019,15869834,0,5988535,3375058,2613477,48172,124865,314935,676881,508,0,189687,1258429,697149,8260,828,22167,99128,458234,41896,15835,50743,58,8966205,8171546,794659,217945,0,0,217945,0
connecticut,2020,18400534,0,7468451,4581615,2886836,64774,234835,190259,472732,11224,268919,320931,1323162,370415,7953,229,32538,5054,230462,33585,0,56326,4268,10239719,8177456,2062263,321949,146650,175028,0,271
connecticut,2019,19131944,0,7787888,4589035,3198853,64146,299273,169524,497860,5193,273076,357525,1532256,411470,9572,230,31621,5583,243358,38712,0,77540,4854,10511616,8445783,2065833,420970,209674,211118,0,178
delaware,2020,4555474,0,585504,0,585504,25204,0,118599,136824,51,50905,119153,134768,1851617,1468,284,1643896,4136,56082,6645,531,127014,11561,1930761,1685848,244913,187592,211,186158,0,1223
delaware,2019,4596190,0,602601,0,602601,26610,0,113411,142807,72,51858,122610,145233,1785406,2440,303,1560527,4296,59061,6036,777,140916,11050,2031392,1741418,289974,176791,1937,173765,0,1089
